# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 0 | Tempo: 91,89364 | Attesa: 0 | Distanza: 76,22844
SauterellePattern | soddisfatto | Visitati: 10 | Non visitati: 0 | Tempo: 144,9658 | Attesa: 0 | Distanza: 138,7057
SauterellePattern | soddisfatto | Visitati: 9 | Non visitati: 0 | Tempo: 130,7656 | Attesa: 0 | Distanza: 176,3602
SauterellePattern | soddisfatto | Visitati: 8 | Non visitati: 0 | Tempo: 117,509 | Attesa: 0 | Distanza: 124,0918
PoissonPattern | soddisfatto | Visitati: 14 | Non visitati: 0 | Tempo: 202,7622 | Attesa: 0 | Distanza: 177,1681
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 111,8399 | Attesa: 6,513907 | Distanza: 108,9577
PoissonPattern | soddisfatto | Visitati: 13 | Non visitati: 0 | Tempo: 219,8641 | Attesa: 1,09399 | Distanza: 230,4861
SauterellePattern | insoddisfatto | Visitati: 6 | Non visitati: 2 | Tempo: 126,1049 | Attesa: 15,02869 | Distanza: 162,1837
SauterellePattern | soddisfatto | Visitati: 9 | Non visitati: 0 | Tempo: 106,7716 | Attesa: 6,903916 | Distanza: 151,7241
SauterellePattern | soddisfatto | Visitati: 5 | Non visitati: 1 | Tempo: 85,45695 | Attesa: 4,236301 | Distanza: 150,1495
FourmiPattern | soddisfatto | Visitati: 8 | Non visitati: 0 | Tempo: 200,9234 | Attesa: 6,077494 | Distanza: 166,4312
PoissonPattern | soddisfatto | Visitati: 15 | Non visitati: 0 | Tempo: 218,0207 | Attesa: 2,384105 | Distanza: 208,9417
PoissonPattern | soddisfatto | Visitati: 12 | Non visitati: 0 | Tempo: 170,5381 | Attesa: 9,018656 | Distanza: 153,1249
PapillonPattern | soddisfatto | Visitati: 13 | Non visitati: 0 | Tempo: 256,3659 | Attesa: 0 | Distanza: 179,4078
